# Height	Time	Reaction	Name
2.27	0.679	0.039	Oberon
4.0	0.918	0.026	Helena
2.73	0.725	0.049	Helena
4.35	0.949	0.044	Demetrius
3.01	0.814	0.012	Oberon
4.03	0.952	0.032	Helena
4.6	1.004	0.02	Oberon
1.43	0.497	0.023	Demetrius
2.25	0.638	0.03	Lysander
2.22	0.673	0.027	Lysander
4.11	0.882	0.014	Titania
2.13	0.627	0.042	Lysander
4.08	0.905	0.015	Oberon
1.51	0.568	0.014	Oberon
2.92	0.788	0.017	Demetrius
1.59	0.525	0.018	Titania
3.69	0.912	0.048	Helena
4.43	0.93	0.03	Demetrius
2.42	0.704	0.037	Hermia
3.63	0.886	0.022	Titania
2.43	0.659	0.028	Oberon
4.85	0.953	0.03	Titania
4.61	0.966	0.039	Lysander
4.23	0.974	0.029	Titania
4.32	0.911	0.015	Oberon
3.46	0.833	0.036	Titania
4.74	0.957	0.023	Hermia
3.39	0.783	0.034	Oberon
2.78	0.732	0.039	Oberon
4.85	0.972	0.014	Helena
3.0	0.82	0.041	Lysander
2.21	0.709	0.03	Helena
2.09	0.689	0.025	Demetrius
3.65	0.878	0.016	Titania
1.69	0.595	0.029	Hermia
2.14	0.689	0.034	Lysander
3.52	0.883	0.023	Lysander
2.92	0.773	0.013	Hermia
2.1	0.615	0.029	Titania
3.32	0.78	0.045	Titania
1.94	0.581	0.023	Demetrius
4.73	0.986	0.023	Demetrius
4.88	0.951	0.046	Hermia
1.58	0.549	0.027	Oberon
1.36	0.554	0.033	Titania
3.95	0.937	0.041	Lysander
3.26	0.826	0.039	Lysander
3.39	0.876	0.017	Demetrius
1.26	0.539	0.039	Demetrius
2.86	0.753	0.022	Demetrius
4.07	0.911	0.034	Titania
1.78	0.624	0.037	Helena
1.18	0.527	0.033	Demetrius
1.4	0.554	0.019	Lysander
1.82	0.606	0.029	Demetrius
2.9	0.783	0.02	Helena
1.01	0.473	0.014	Oberon
2.25	0.643	0.023	Titania
3.41	0.869	0.039	Oberon
4.76	0.968	0.01	Hermia
3.27	0.773	0.021	Hermia
3.12	0.812	0.037	Lysander
3.64	0.844	0.031	Titania
1.91	0.673	0.042	Hermia
3.14	0.836	0.024	Titania
4.66	0.972	0.047	Helena
2.9	0.799	0.03	Lysander
1.48	0.583	0.039	Lysander
4.83	0.98	0.026	Lysander
2.75	0.747	0.034	Hermia
2.61	0.709	0.049	Demetrius
3.21	0.823	0.043	Lysander
2.05	0.631	0.019	Helena
3.0	0.814	0.018	Demetrius
4.53	0.912	0.02	Titania
4.68	0.933	0.013	Helena
2.39	0.672	0.04	Demetrius
3.17	0.829	0.042	Hermia
4.83	0.958	0.026	Lysander
1.02	0.496	0.049	Hermia
2.87	0.814	0.023	Hermia
3.26	0.858	0.045	Titania
4.19	0.902	0.044	Helena
4.33	0.916	0.042	Demetrius
2.22	0.634	0.019	Titania
